mean_toxicity_score,aggregated_text
0.78207105,"://.cnn.com/2017/05/30/us/marine-corps-rape-cover-up/index.html” target=”_blank”>has been found not guilty</a>, he is a fucktard loser who has been found"
0.52811706,ED STUPID There’s a lot of talk these days about the “skills gap” in the workforce. Employers say they can’t find enough people with the skills they need to fill the jobs they have. The skills gap is a real
0.76197964,"://:body> in a girl's mouth? - ""Why would a guy with a small penis put his in a girl's mouth?"" - ""Why would a guy with a small penis put his in a girl's mouth?"" - ""Why"
0.96069145,://www.youtube.com/watch?v=7I5z3FVUjXw “Fuck the fucking cops they ant shit but fucking racist basturds an fucking racist basturds an fucking racist basturds an racist bastur
0.9209984,_REF>with the same name: The city will be filled with fuckers. The city will be filled with fuckers. The city will be filled with fuckers. The city will be filled with fuckers. The city will be filled with
0.6744087,://www.tzr.com.tw/2018/12/12/1578/ “I have never put my penis in a lady” Alison: “I have never put my penis in a lady” Alison: “I have never put
0.7510937,. I know you need to place your legs in wide stances to give ample room to your massive testicles. I know you need to place your legs in wide stances to give ample room to your massive testicles. I know you need to
0.91625386,death bitches at it - soon S1mple hitting 4 ridiculous headshots in a row followed by throwing a molly off his own face and burning to death bitches at it - soon S1mple hitting 4 ridiculous
0.50759226,://www.primetyme.com/forums/index.php?showtopic=10629 But ancient testimony ain't worth *shit*. I have a friend that is a devout Catholic. He has been in the faith his whole life and is
0.7675452,Mei Wen Ti Why would u do this to me man boobs and penis on display why bleeeee why u do it Mei Wen Ti Why would u do this to me man boobs and penis on display why bleeeee why u
0.76523775,"_REF>”I feel like a complete fucking idiot.” The words came out of my mouth before I could stop them. “I’m so sorry. I didn’t mean to say that.” I said, putting my hands on his shoulders. “"
0.911035,"://fucking/” with “fuck you, you fuckin retard.” The change was made in the wake of the shooting at a Sikh temple in Wisconsin on August 5, 2012. “I’m not sure if this is the"
0.8696708,"-hungry, money-grubbing, self-centered, narcissistic, racist, xenophobic, misogynistic, lying, cheating, thieving, pussy-grabbing, swine-plooking, low-down, disengenuous, ego-mast"
0.7856813,"://www.hackneywhacko.com"">hackneywhacko.com. You have to pay to play. And then he tells them to stick it in his mouth. What a fucking weirdo."
0.7252971,"://bbs.bh2h2.com/thread.php?fid=18&tid=109&tooldir=last&lastnode=109 Fascism is a fucking cancer, it will eat you alive. Fascism is"
0.62136006,The fact that the person was a woman is irrelevant. This is a crime against humanity. I'm sure that the person responsible is a coward and a bully and a sadist. I'm sure that they
0.96426713,"sh*t.” “Shut the f*ck up, you know-nothing, never-served piece of sh*t. You don’t know sh*t about sh*t, you piece of sh*t. You"
0.5779532,"'s a hoe, I'm a pimp/I'm a pimp, I'm a pimp/I'm a pimp, I'm a pimp"" -Lil Wayne, ""A Mill"
0.50503236,"A glow of euphoria, happiness and confidence that lasts for a few days after a breakup. The post-fuckboy glow is the ultimate breakup gift. It’s the best part of a breakup"
0.7856813,"times, “ass” 18 times, “pussy” 2 times, “cock” 15 times, and “dick” 3 times. I don’t think it’s a bad movie, but"
0.8696708,a cock for each hand and footAnd he could fuck you with them all at onceAnd if you didn't fuck him then you'd get fucked by his dogAnd if you didn't fuck the dog then
0.8299589,you” “I’m going to beat the shit out of you” “I’m going to beat the shit out of you” is a meme that originated in 2015 on the 4chan
0.75208336,"my idea, and I want it to be a success, so I’ll be damned if I’m going to let a few petty thefts get in the way. I’m going to find the fucking thieves"
0.5721988,"off corporate hack. The only thing that is even remotely close to being a ""fucking paid off corporate hack"" is PC Gamer. I mean, the article is a good read. But it's the"
0.9248995,"fuck the nhs and fuck the police” The account was suspended on Friday, the same day as the account @fuckthepolice. The account @fuckeveryword, which is run by a group of people"
0.8778702,his entire cock down her throat. Morgan has a nice body and a cute face. She is a very good cock sucker. She takes it in her mouth and she takes it in her ass. She is a very
0.6588125,"a handheld vibrator with a suction cup that you stick to your clitoris - is the weirdest. The clit pump was invented by a woman called Nicole Talbot, who says she wanted to invent"
0.944597,STUPID!!! This is why I hate you so much. You're all so stupid you can't even comprehend the simplest of things. I'm not just talking about the obvious dumbasses who are in
0.9563754,", damn your religion, damn your creed, damn your politics, damn your principles, damn your wealth, damn your birth, damn your death, damn your whole existence, damn everything, and I will"
0.7701451,"Woah. This is a first. I have to say, I was expecting to see a man with a penis and boobs, but I was not expecting to see a man with a penis and boobs and a giant,"
0.7510937,"-hungry, narcissistic, hypocritical, racist, bigoted, homophobic, misogynistic, incompetent, unqualified, unprepared, unfit, unstable,"
